chrom	position	gene	5p_dist	3p_dist
chr1	946247	NOC2L	1858	899
chr1	964409	KLHL17	1689	878
chr1	965125	KLHL17	1973	594
chr1	973858	PLEKHN1	1510	1666
chr1	978938	PERM1	2264	1256
chr1	1179288	TTLL10	250	2038
chr1	1197893	TTLL10	2245	43
chr1	1203533	TNFRSF18	1057	26
chr1	1203822	TNFRSF18	768	315
chr1	1212042	TNFRSF4	559	516
chr1	1312114	INTS11	1692	422
chr1	1313807	INTS11	933	1181
chr1	1407232	MRPL20	61	639
chr1	1485073	ATAD3B	928	3170
chr1	1534218	ATAD3A	2014	467
chr1	1616547	MIB2	174	3032
chr1	1703565	CDK11A	2083	901
chr1	1704310	CDK11A	1711	1273
chr1	1704605	CDK11A	1621	1363
chr1	1753033	NADK	1433	1802
chr1	1754601	NADK	1007	2228
chr1	1917295	CALML6	669	1
chr1	1918090	TMEM52	435	500
chr1	1922670	CFAP74	4841	514
chr1	1930142	CFAP74	3310	2045
chr1	1930143	CFAP74	3309	2046
chr1	1942075	CFAP74	2672	2683
chr1	1942086	CFAP74	2661	2694
chr1	1944419	CFAP74	2502	2853
chr1	2025598	GABRD	409	1505
chr1	2321320	MORN1	1577	68
chr1	2499178	PLCH2	2829	2041
chr1	2512975	PANK4	1648	993
chr1	2521130	PANK4	401	2240
chr1	2556714	TNFRSF14	344	1358
chr1	2563346	TNFRSF14	1219	483
chr1	2595307	MMEL1	1740	1139
chr1	2604174	MMEL1	1111	1768
chr1	2609830	MMEL1	481	2398
chr1	2629443	MMEL1	229	2650
chr1	2629464	MMEL1	208	2671
chr1	2641760	TTC34	3005	4775
chr1	3022425	ACTRT2	959	478
chr1	3385157	PRDM16	501	8197
chr1	3412699	PRDM16	2559	6139
chr1	3490537	MEGF6	4856	2587
chr1	3505333	MEGF6	2302	5141
chr1	3510787	MEGF6	1469	5974
chr1	3512044	MEGF6	1177	6266
chr1	3627623	TPRG1L	652	1749
chr1	3682336	TP73	130	5062
chr1	3682346	TP73	140	5052
chr1	3829293	CEP104	2460	3971
chr1	3836572	CEP104	1576	4855
chr1	3857566	DFFB	91	2742
chr1	3857574	DFFB	99	2734
chr1	3869625	DFFB	659	2174
chr1	3869681	DFFB	715	2118
chr1	3890824	C1orf174	448	1197
chr1	6589168	ZBTB48	2235	112
chr1	6601997	KLHL21	872	3615
chr1	6621684	PHF13	1286	2346
chr1	6645814	DNAJC11	884	2317
chr1	7809988	PER3	1648	4717
chr1	7820623	PER3	2250	4115
chr1	7827433	PER3	2814	3551
chr1	7830057	PER3	3420	2945
chr1	7837073	PER3	3783	2582
chr1	8344033	SLC45A1	2364	132
chr1	8358584	RERE	4575	3434
chr1	8358590	RERE	4569	3440
chr1	8361032	RERE	3099	4910
chr1	8361143	RERE	2988	5021
chr1	8949347	CA6	183	1151
chr1	8949385	CA6	221	1113
chr1	8957145	CA6	287	1047
chr1	8970905	CA6	787	547
chr1	9263851	H6PD	1661	7486
chr1	9356092	SPSB1	528	2578
chr1	9356287	SPSB1	723	2383
chr1	9610776	TMEM201	1756	2059
chr1	10258594	KIF1B	673	10182
chr1	10361820	KIF1B	4687	6168
chr1	10375266	KIF1B	5689	5166
chr1	10400428	PGD	174	2094
chr1	10413139	PGD	786	1482
chr1	10648085	CASZ1	3528	4406
chr1	10649384	CASZ1	3249	4685
chr1	10665441	CASZ1	462	7472
chr1	11072160	EXOSC10	2206	590
chr1	11081130	EXOSC10	1426	1370
chr1	11121270	MTOR	7029	1692
chr1	11130589	MTOR	5673	3048
chr1	11228701	MTOR	3117	5604
chr1	11241657	MTOR	1557	7164
chr1	11501536	DISP3	765	4500
chr1	11519413	DISP3	2169	3096
chr1	11711931	DRAXIN	877	6488
chr1	11719712	DRAXIN	1220	6145
chr1	11796321	MTHFR	754	6264
chr1	11923149	KIAA2013	1563	1256
chr1	11949898	PLOD1	357	2619
chr1	11964178	PLOD1	1269	1707
chr1	12011623	MFN2	2522	1885
chr1	12022277	MIIP	434	1107
chr1	12022404	MIIP	561	980
chr1	12188885	TNFRSF1B	269	3418
chr1	12279562	VPS13D	4681	11676
chr1	12341811	VPS13D	8825	7532
chr1	12578936	DHRS3	1341	860
chr1	12580622	DHRS3	1101	1100
chr1	12719558	AADACL3	319	3736
chr1	12719616	AADACL3	377	3678
chr1	12725527	AADACL3	822	3233
chr1	12760937	CFAP107	802	2762
chr1	12777320	PRAMEF12	2303	586
chr1	12793254	PRAMEF1	130	2030
chr1	12794279	PRAMEF1	755	1405
chr1	12794395	PRAMEF1	871	1289
chr1	12795729	PRAMEF1	1261	899
chr1	12795997	PRAMEF1	1529	631
chr1	13392000	PRAMEF17	949	629
chr1	13392079	PRAMEF17	1028	550
chr1	13418237	PRAMEF20	502	1095
chr1	13475857	LRRC38	1283	885
chr1	13475969	LRRC38	1171	997
chr1	13778796	PRDM2	1179	6100
chr1	13779427	PRDM2	1810	5469
chr1	13816508	PRDM2	5296	1983
chr1	15056111	KAZN	1060	4989
chr1	15112494	KAZN	2429	3620
chr1	15219581	TMEM51	1074	897
chr1	15289626	FHAD1	715	4827
chr1	15289643	FHAD1	732	4810
chr1	15382044	FHAD1	4226	1316
chr1	15397347	FHAD1	4561	981
chr1	15463518	CELA2A	511	405
chr1	15467418	CELA2A	694	222
chr1	15506048	CASP9	676	2132
chr1	15518120	CASP9	422	2386
chr1	15565920	DNAJC16	1729	4305
chr1	15577823	AGMAT	845	2250
chr1	15579006	AGMAT	656	2439
chr1	15583249	AGMAT	502	2593
chr1	15633482	DDI2	762	9905
chr1	15660052	RSC1A1	340	1981
chr1	15660052	DDI2	1675	8992
chr1	15717906	PLEKHM2	530	3604
chr1	15718592	PLEKHM2	671	3463
chr1	15770439	FBLIM1	836	2478
chr1	16053748	CLCNKB	1838	724
chr1	16053757	CLCNKB	1847	715
chr1	16058680	FAM131C	808	912
chr1	16125272	EPHA2	3010	936
chr1	16138178	EPHA2	1123	2823
chr1	16148628	EPHA2	709	3237
chr1	16206003	ARHGEF19	1558	1764
chr1	16251413	FBXO42	1653	4574
chr1	16405015	SPATA21	1245	770
chr1	16409832	SPATA21	838	1177
chr1	16421937	SPATA21	551	1464
chr1	16922005	CROCC	75	6585
chr1	16940041	CROCC	1844	4816
chr1	16975285	MFAP2	506	539
chr1	16986248	ATP13A2	3705	291
chr1	16986848	ATP13A2	3381	615
chr1	16987159	ATP13A2	3159	837
chr1	16988207	ATP13A2	2979	1017
chr1	16988447	ATP13A2	2826	1170
chr1	16992516	ATP13A2	2004	1992
chr1	17068985	PADI2	2136	2225
chr1	17069026	PADI2	2095	2266
chr1	17070208	PADI2	1723	2638
chr1	17075760	PADI2	1453	2908
chr1	17079314	PADI2	1339	3022
chr1	17086626	PADI2	808	3553
chr1	17092529	PADI2	613	3748
chr1	17223626	PADI1	369	3477
chr1	17271160	PADI3	1069	2120
chr1	17274670	PADI3	1231	1958
chr1	17282953	PADI3	1909	1280
chr1	17331039	PADI4	189	2078
chr1	17331121	PADI4	271	1996
chr1	17334004	PADI4	361	1906
chr1	17336167	PADI4	375	1892
chr1	17336210	PADI4	418	1849
chr1	17342068	PADI4	804	1463
chr1	17342393	PADI4	952	1315
chr1	17634850	ARHGEF10L	2057	2568
chr1	17654689	ARHGEF10L	2744	1881
chr1	17656064	ARHGEF10L	2963	1662
chr1	17696870	ARHGEF10L	3626	999
chr1	17697014	ARHGEF10L	3770	855
chr1	17697195	ARHGEF10L	3951	674
chr1	18378368	IGSF21	1777	115
chr1	18481403	KLHDC7A	474	4571
chr1	18481459	KLHDC7A	530	4515
chr1	18481798	KLHDC7A	869	4176
chr1	18481971	KLHDC7A	1042	4003
chr1	18482032	KLHDC7A	1103	3942
chr1	18483402	KLHDC7A	2473	2572
chr1	18700745	PAX7	1637	4576
chr1	18840335	TAS1R2	1783	737
chr1	18854521	TAS1R2	948	1572
chr1	18854588	TAS1R2	881	1639
chr1	18854899	TAS1R2	570	1950
chr1	18857583	TAS1R2	230	2290
chr1	18875434	ALDH4A1	1439	1700
chr1	18875462	ALDH4A1	1411	1728
chr1	18876423	ALDH4A1	1261	1878
chr1	18876432	ALDH4A1	1252	1887
chr1	19268643	AKR7L	882	431
chr1	19270926	AKR7L	343	970
chr1	19282760	AKR7A3	1027	188
chr1	19284747	AKR7A3	703	512
chr1	19325569	SLC66A1	1011	1164
chr1	19978433	PLA2G2A	276	570
chr1	20084839	PLA2G5	291	1627
chr1	20330331	VWA5B1	1646	7497
chr1	20336445	VWA5B1	2141	7002
chr1	20345468	VWA5B1	2879	6264
chr1	20354225	VWA5B1	3850	5293
chr1	20589208	CDA	112	697
chr1	20618562	CDA	468	341
chr1	20650507	PINK1	1653	1004
chr1	20698408	KIF17	1504	2454
chr1	20704549	KIF17	1321	2637
chr1	20715601	KIF17	570	3388
chr1	21247229	ECE1	1203	3864
chr1	21470728	NBPF3	791	2976
chr1	21563142	ALPL	529	2007
chr1	21614062	RAP1GAP	570	2752
chr1	21649796	RAP1GAP	104	3218
chr1	21823442	HSPG2	13142	1199
chr1	21823442	LDLRAD2	2233	1783
chr1	21823625	HSPG2	13086	1255
chr1	21823625	LDLRAD2	2416	1600
chr1	21828352	HSPG2	12404	1937
chr1	21836909	HSPG2	10340	4001
chr1	21864961	HSPG2	4600	9741
chr1	21887547	HSPG2	923	13418
chr1	22526387	ZBTB40	3934	4767
chr1	22593411	EPHA8	1548	3471
chr1	22601772	EPHA8	3196	1823
chr1	22953931	LACTBL1	1061	889
chr1	23091660	LUZP1	2917	5495
